Cell	protected
cell1	1.37
cell2	7.09
cell3	0
cell4	74.9
cell5	0
cell6	12.58
cell7	0.01
cell8	20.82
cell9	6.25
cell10	19.57
cell11	91.1
cell12	94.64
cell13	47.9
cell14	53.91
cell15	0.15
cell16	0.02
cell17	2.89
cell18	1.25
cell19	8.11
cell20	18.97
cell21	2.13
cell22	0.06
cell23	15.11
cell24	0
cell25	0
cell26	2.18
cell27	24.77
cell28	0
cell29	0
cell30	0.12
cell31	0
cell32	0
cell33	0.02
cell34	0
cell35	3.4
cell36	45.73
cell37	3.9
cell38	0
cell39	0
cell40	0
cell41	0
cell42	10.66
cell43	0
cell44	27.47
cell45	35.83
cell46	10.99
cell47	0
cell48	0
cell49	0.02
cell50	0
cell51	6.78
cell52	37.82
cell53	1.51
cell54	50.24
cell55	14.55
cell56	7.7
cell57	1.31
cell58	0
cell59	0.03
cell60	0
cell61	0
cell62	48.12
cell63	13.26
cell64	1.43
cell65	0.17
cell66	0.11
cell67	0.2
cell68	39.35
cell69	51.39
cell70	0.05
cell71	1.21
cell72	1.24
cell73	0.69
cell74	0.63
cell75	0
cell76	0.7
cell77	2.95
cell78	90.8
cell79	26.39
cell80	11.45
cell81	26.55
cell82	0.48
cell83	0.98
cell84	9.64
cell85	0
cell86	0
cell87	0
cell88	0
cell89	35.71
cell90	25.18
cell91	0.23
cell92	34.33
cell93	9.71
cell94	88.4
cell95	100
cell96	92.16
cell97	4.85
cell98	61.47
cell99	63.28
cell100	4.92
cell101	0
cell102	44.55
cell103	28.07
cell104	100
cell105	0
cell106	0
cell107	0
cell108	19.94
cell109	4.88
cell110	0.57
cell111	7.72
cell112	65.59
cell113	49.62
cell114	15.73
cell115	8.47
cell116	0
cell117	0
cell118	0
cell119	16.14
cell120	6.44
cell121	9.54
cell122	14.84
cell123	4.7
cell124	0
cell125	59.27
cell126	69.6
cell127	3.76
cell128	60.56
cell129	49.74
cell130	8.41
cell131	1.2
cell132	0
cell133	0.77
cell134	52.92
cell135	5.93
cell136	44.72
cell137	23.31
cell138	13.48
cell139	19.1
cell140	4.26
cell141	0
cell142	0
cell143	0
cell144	0.51
cell145	28.88
cell146	57.07
cell147	31.78
cell148	96.94
cell149	59.87
cell150	0.13
cell151	0
cell152	0
cell153	24.59
cell154	82.32
cell155	97.64
cell156	38.09
cell157	88.57
cell158	98.94
cell159	87.75
cell160	1.09
cell161	0
cell162	0
cell163	1.43
cell164	96.44
cell165	100
cell166	71.79
cell167	40.77
cell168	12.46
cell169	16.76
cell170	1.19
cell171	1.44
cell172	0.36
cell173	17.39
cell174	6.24
cell175	15.89
cell176	15.31
cell177	35.29
cell178	23.6
cell179	7
cell180	0
cell181	1.08
cell182	33.51
cell183	93.38
cell184	10.54
cell185	0
cell186	37.78
cell187	98.22
cell188	100
cell189	0.09
cell190	15.2
cell191	48.03
cell192	30.12
cell193	0.07
cell194	0
cell195	32.99
cell196	100
cell197	0
cell198	5.76
cell199	34.87
cell200	29.39
cell201	9.48
cell202	0
cell203	0
cell204	0
cell205	16.98
cell206	8.81
cell207	2.88
cell208	35.51
cell209	28.22
cell210	10.35
cell211	6.77
cell212	0
cell213	0
cell214	0.97
cell215	0
cell216	42.59
cell217	99.96
cell218	40.96
cell219	2.83
cell220	2.26
cell221	29.96
cell222	36.75
cell223	0
cell224	14.25
cell225	99.62
cell226	79.44
cell227	62.49
cell228	32.64
cell229	0.02
cell230	2.31
cell231	30.4
cell232	32.29
cell233	0.25
cell234	3.1
cell235	80.15
cell236	90.14
cell237	61.15
cell238	30.42
cell239	25.32
cell240	0.95
cell241	14.15
cell242	38.98
cell243	25.67
cell244	28.69
cell245	89.88
cell246	75.15
cell247	85.03
cell248	49.01
cell249	14.64
cell250	0
cell251	31.88
cell252	63.63
cell253	3.87
cell254	74.16
cell255	100
cell256	37.7
cell257	12.73
cell258	49.58
cell259	7.71
cell260	6.94
cell261	14.17
cell262	1.18
cell263	0.1
cell264	56.57
cell265	100
cell266	9.37
cell267	2.52
cell268	32.15
cell269	2.1
cell270	0
cell271	0
cell272	0
cell273	0
cell274	26.8
cell275	84.6
cell276	1.95
cell277	17.59
cell278	5.64
cell279	3.78
cell280	2.91
cell281	0.58
cell282	0
cell283	0
cell284	30.27
cell285	99.64
cell286	100
cell287	91.36
cell288	0
cell289	0
cell290	2.74
cell291	0
cell292	29.15
cell293	0
cell294	0
cell295	0
cell296	100
cell297	25.59
cell298	0
cell299	1.57
cell300	0.3
